country,date,ypred,yerr,ytrue
AND,2020-04-11,40.605793,48.09213244668331,NA
AND,2020-04-12,40.956665,56.62111577973594,NA
AND,2020-04-13,42.52328,63.54504250073216,NA
AND,2020-04-14,44.0122,61.460537640410266,NA
AND,2020-04-15,41.219734,63.353789581589474,NA
AND,2020-04-16,37.252785,57.84949527228925,NA
AND,2020-04-17,33.22293,50.13943598014153,NA
AND,2020-04-18,32.207397,51.9976630581947,NA
AND,2020-04-19,28.864748,48.38317863675823,NA
AND,2020-04-20,28.38092,45.158491426088354,NA
AND,2020-04-21,30.211628,49.3757949940132,NA
AND,2020-04-22,31.713064,50.11592842009395,NA
AND,2020-04-23,41.436054,59.7416524127956,NA
AND,2020-04-24,44.447308,55.01183323708231,NA
AND,2020-04-25,31.596407,41.55180636464531,NA
AND,2020-04-26,50.25585,61.15160678654355,NA
AND,2020-04-27,64.33094,67.7492259773935,NA
AND,2020-04-28,41.892033,45.62813463952774,NA
AND,2020-04-29,47.59936,43.119985710837206,NA
AND,2020-04-30,35.426094,34.06379892416908,NA
AND,2020-05-01,34.310818,32.54617309384701,NA
AND,2020-05-02,31.558428,29.830342667116906,NA
AND,2020-05-03,56.84593,48.4490330868319,NA
AND,2020-05-04,40.672237,36.93578515007143,NA
AND,2020-05-05,34.347397,33.60310023222693,NA
AND,2020-05-06,27.70437,27.837260231782587,NA
AND,2020-05-07,23.332897,25.15640430734756,NA
AND,2020-05-08,28.12756,29.535672686814827,NA
AND,2020-05-09,41.246304,44.174261241987466,NA
AND,2020-05-10,26.091896,28.62248630797696,NA
AND,2020-05-11,14.713248,18.256731800457803,NA
AND,2020-05-12,18.98095,22.836039969268104,NA
AND,2020-05-13,15.043697,18.645037892707972,NA
AND,2020-05-14,15.01622,18.180476743991985,NA
AND,2020-05-15,12.788738,17.222254644675484,NA
AND,2020-05-16,18.391247,20.51741636425849,NA
AND,2020-05-17,12.8601885,16.839440072600365,NA
AND,2020-05-18,15.458288,18.772645669534803,NA
AND,2020-05-19,12.833908,17.635195941666275,NA
AND,2020-05-20,19.422888,23.113685799107262,NA
AND,2020-05-21,13.50102,18.80871497250274,NA
AND,2020-05-22,8.835371,14.548751401559363,NA
AND,2020-05-23,6.567892,12.660531164272605,NA
AND,2020-05-24,5.9810486,12.354585831840776,NA
AND,2020-05-25,3.1252098,10.190097023961314,NA
AND,2020-05-26,3.9772682,11.100076731628386,NA
AND,2020-05-27,4.0445805,10.936858373315541,NA
AND,2020-05-28,0.7390638,8.038458438979509,NA
AND,2020-05-29,0.71682703,7.970674402719922,NA
AND,2020-05-30,0.71932936,7.985852719248408,NA
AND,2020-05-31,0.7671223,7.933166531667851,NA
AND,2020-06-01,0.6969516,8.016744162434069,NA
AND,2020-06-02,0.76877254,8.096005541547552,NA
AND,2020-06-03,1.0818789,8.45192250329159,NA
AND,2020-06-04,1.6564522,8.988557117303415,NA
AND,2020-06-05,2.3121989,9.693670606861161,NA
AND,2020-06-06,3.121732,10.26008215697368,NA
AND,2020-06-07,4.0222783,11.042970833731506,NA
AND,2020-06-08,5.2509975,12.374938176349183,NA
AND,2020-06-09,7.6280828,15.069856815427052,NA
AND,2020-06-10,6.962734,13.463744815522015,NA
AND,2020-06-11,9.259642,15.975438708791257,NA
AND,2020-06-12,14.678895,20.770140151580737,NA
AND,2020-06-13,4.712186,11.550691214572849,NA
AND,2020-06-14,1.0030706,8.011577798058859,NA
AND,2020-06-15,0.69722486,7.969545115825871,NA
AND,2020-06-16,0.6759454,8.139872014907574,NA
AND,2020-06-17,0.86569846,8.180388398208656,NA
AND,2020-06-18,0.94681096,8.221194356287707,NA
AND,2020-06-19,1.0878327,8.35709086900874,NA
AND,2020-06-20,1.2486427,8.420709736108444,NA
AND,2020-06-21,1.3677351,8.459744854099151,NA
AND,2020-06-22,1.4784627,8.480538403278718,NA
AND,2020-06-23,1.5878124,8.494837594866901,NA
AND,2020-06-24,1.6010554,8.549638937347417,NA
AND,2020-06-25,1.4943504,8.393501202386272,NA
AND,2020-06-26,1.3528576,8.24385399321416,NA
AND,2020-06-27,1.1533067,8.078221599417667,NA
AND,2020-06-28,0.5267342,7.79575864661794,NA
AND,2020-06-29,0.540035,7.813949854598127,NA
AND,2020-06-30,0.4929961,8.011626516688802,NA
AND,2020-07-01,0.49057406,7.998537627244462,NA
AND,2020-07-02,0.48592067,7.9836483380936105,NA
AND,2020-07-03,0.47752312,7.9694914705929,NA
AND,2020-07-04,0.46985197,7.958435078597721,NA
AND,2020-07-05,0.4634953,7.960965710353029,NA
AND,2020-07-06,0.4558423,7.96835889929683,NA
AND,2020-07-07,0.4515742,7.994993757466425,NA
AND,2020-07-08,0.4488505,8.025450017384626,NA
