country,date,ypred,yerr,ytrue
ALB,2020-04-11,1.0109727,13.471466136199659,NA
ALB,2020-04-12,0.9384623,13.462568810864667,NA
ALB,2020-04-13,0.8880527,13.394466962571874,NA
ALB,2020-04-14,0.8641357,13.353791597857253,NA
ALB,2020-04-15,0.8984322,13.408757004542696,NA
ALB,2020-04-16,0.921966,13.49998780999632,NA
ALB,2020-04-17,1.0028192,13.591925378204273,NA
ALB,2020-04-18,1.0936952,13.645821879236474,NA
ALB,2020-04-19,1.1482687,13.552591986570706,NA
ALB,2020-04-20,1.2142074,13.574083999418301,NA
ALB,2020-04-21,1.2048019,13.460863234631077,NA
ALB,2020-04-22,1.1798652,13.277931422056694,NA
ALB,2020-04-23,1.2312697,13.17916278739263,NA
ALB,2020-04-24,1.2590963,13.004767617507948,NA
ALB,2020-04-25,1.2946997,12.861175037581631,NA
ALB,2020-04-26,1.2859725,12.530577997721785,NA
ALB,2020-04-27,1.3254246,12.296464295603425,NA
ALB,2020-04-28,1.3380846,12.080185401129727,NA
ALB,2020-04-29,1.2812241,12.089507660269492,NA
ALB,2020-04-30,1.3051919,11.983404901775621,NA
ALB,2020-05-01,1.3541489,11.932115683590233,NA
ALB,2020-05-02,1.3053358,11.909719773748979,NA
ALB,2020-05-03,1.2337579,11.913471895437517,NA
ALB,2020-05-04,1.1661193,11.940105461297506,NA
ALB,2020-05-05,1.0598515,11.991642922599084,NA
ALB,2020-05-06,1.0284446,11.972066762507028,NA
ALB,2020-05-07,0.9590907,12.121170339612773,NA
ALB,2020-05-08,0.960944,12.15700496356168,NA
ALB,2020-05-09,0.97425824,12.141634333908616,NA
ALB,2020-05-10,0.9801879,12.179493599508099,NA
ALB,2020-05-11,0.95662487,12.245077970551998,NA
ALB,2020-05-12,0.9872817,12.23988749904318,NA
ALB,2020-05-13,0.99220604,12.247507832583414,NA
ALB,2020-05-14,0.9806017,12.227186213015976,NA
ALB,2020-05-15,0.9206995,12.1580724089613,NA
ALB,2020-05-16,0.92701346,12.128852003805244,NA
ALB,2020-05-17,0.9265394,12.201499621631573,NA
ALB,2020-05-18,0.9370806,12.248411729577073,NA
ALB,2020-05-19,0.9519981,12.305354319670293,NA
ALB,2020-05-20,0.92192775,12.3763241060819,NA
ALB,2020-05-21,0.7984151,12.382804711668095,NA
ALB,2020-05-22,0.7643089,12.512021094659735,NA
ALB,2020-05-23,0.70216554,12.62171826745068,NA
ALB,2020-05-24,0.6581062,12.698096833287988,NA
ALB,2020-05-25,0.61947966,12.7728997854643,NA
ALB,2020-05-26,0.70066863,13.134417695826109,NA
ALB,2020-05-27,0.7924613,13.509759827252475,NA
ALB,2020-05-28,1.1265028,13.927284305134103,NA
ALB,2020-05-29,1.279265,13.969820032966528,NA
ALB,2020-05-30,1.3105918,13.929341802491235,NA
ALB,2020-05-31,1.2542776,13.74431452596548,NA
ALB,2020-06-01,1.2953334,13.769464474142824,NA
ALB,2020-06-02,1.0934796,13.695473422981816,NA
ALB,2020-06-03,0.9096601,13.692306132869952,NA
ALB,2020-06-04,0.75513446,13.693636423922007,NA
ALB,2020-06-05,0.65114754,13.814990801398531,NA
ALB,2020-06-06,0.62637335,14.056699282618695,NA
ALB,2020-06-07,0.7529151,14.63240427413689,NA
ALB,2020-06-08,1.0392358,15.339527711112696,NA
ALB,2020-06-09,1.7336333,16.376075604287756,NA
ALB,2020-06-10,2.741859,17.493845724573088,NA
ALB,2020-06-11,4.1756697,18.541823022868286,NA
ALB,2020-06-12,4.570233,18.610675441524148,NA
ALB,2020-06-13,4.870777,18.781879957238967,NA
ALB,2020-06-14,5.2344203,18.814880228902428,NA
ALB,2020-06-15,5.7417583,18.90767350573443,NA
ALB,2020-06-16,6.3009353,19.060379528532184,NA
ALB,2020-06-17,7.0237937,19.260387546993222,NA
ALB,2020-06-18,7.6566596,19.52887707968946,NA
ALB,2020-06-19,8.081565,19.768650724856965,NA
ALB,2020-06-20,8.326663,20.08842144434366,NA
ALB,2020-06-21,8.36943,20.187033831869886,NA
ALB,2020-06-22,8.299756,20.264263725570366,NA
ALB,2020-06-23,8.29901,20.289071974399544,NA
ALB,2020-06-24,8.427742,20.562148163730807,NA
ALB,2020-06-25,8.487081,20.635290807535895,NA
ALB,2020-06-26,8.721848,20.69373599860888,NA
ALB,2020-06-27,9.038372,20.777878732968453,NA
ALB,2020-06-28,9.342637,20.80119898335411,NA
ALB,2020-06-29,9.651075,20.96222845181237,NA
ALB,2020-06-30,10.021731,21.100112900319928,NA
ALB,2020-07-01,10.3678055,21.323905529819264,NA
ALB,2020-07-02,10.513693,21.49891546647992,NA
ALB,2020-07-03,10.388189,21.67343329766907,NA
ALB,2020-07-04,10.615195,21.705579320962112,NA
ALB,2020-07-05,10.683683,21.876662635626086,NA
ALB,2020-07-06,10.763977,21.870057908481797,NA
ALB,2020-07-07,10.9424715,21.872389933520363,NA
ALB,2020-07-08,11.02714,21.8337618443875,NA
ALB,2020-07-09,11.06432,21.88762621983996,NA
ALB,2020-07-10,11.219993,21.908031803990816,NA
ALB,2020-07-11,11.473632,22.06157601236912,NA
ALB,2020-07-12,11.826082,22.212167587918383,NA
ALB,2020-07-13,12.041573,22.581329926005232,NA
ALB,2020-07-14,12.635038,22.773658470654237,NA
ALB,2020-07-15,13.41723,22.99783076609598,NA
ALB,2020-07-16,13.8516245,23.16983258028986,NA
ALB,2020-07-17,13.797093,23.161945750463126,NA
ALB,2020-07-18,13.506719,23.193186416508883,NA
ALB,2020-07-19,13.209468,23.10911231406967,NA
ALB,2020-07-20,13.070856,23.215115045190252,NA
ALB,2020-07-21,13.009642,23.247183675041185,NA
ALB,2020-07-22,13.150281,23.301418954914304,NA
ALB,2020-07-23,13.260591,23.353658068082527,NA
ALB,2020-07-24,13.195132,23.348810026048692,NA
ALB,2020-07-25,13.52415,23.312424886483292,NA
ALB,2020-07-26,13.539891,23.27174660126142,NA
ALB,2020-07-27,13.497485,23.21315246431872,NA
ALB,2020-07-28,13.817441,23.16011897317869,NA
ALB,2020-07-29,13.815219,23.388114212609764,NA
ALB,2020-07-30,13.9616995,23.364650857368893,NA
ALB,2020-07-31,13.890477,23.37968416843466,NA
ALB,2020-08-01,13.57112,23.418813124560778,NA
ALB,2020-08-02,13.542727,23.191552392702903,NA
ALB,2020-08-03,13.472109,23.34490676811,NA
ALB,2020-08-04,13.598286,23.36865487280768,NA
ALB,2020-08-05,13.7205925,23.3566837135928,NA
ALB,2020-08-06,13.687172,23.546018738311275,NA
ALB,2020-08-07,14.014516,23.5471694181675,NA
ALB,2020-08-08,14.25108,23.489911413291356,NA
ALB,2020-08-09,14.477122,23.43157866174747,NA
ALB,2020-08-10,14.548799,23.34610271582859,NA
ALB,2020-08-11,14.407867,23.311518068982384,NA
ALB,2020-08-12,14.093577,23.394718939754057,NA
ALB,2020-08-13,14.25265,23.44306355650534,NA
ALB,2020-08-14,14.5051985,23.47360184055764,NA
ALB,2020-08-15,14.7275,23.637484644598466,NA
ALB,2020-08-16,15.214541,23.732941424041826,NA
ALB,2020-08-17,15.608947,23.740433985389902,NA
ALB,2020-08-18,15.340513,23.69844147190585,NA
ALB,2020-08-19,15.243577,23.641265241232684,NA
ALB,2020-08-20,15.265026,23.69870285730466,NA
ALB,2020-08-21,15.409009,23.714717458806195,NA
ALB,2020-08-22,15.448321,23.758931018053342,NA
ALB,2020-08-23,15.539666,23.78797838315488,NA
ALB,2020-08-24,15.58756,23.79723347062791,NA
ALB,2020-08-25,15.744927,23.721763182545132,NA
ALB,2020-08-26,15.852944,23.714550989892984,NA
ALB,2020-08-27,15.850634,23.650615245191318,NA
ALB,2020-08-28,15.579672,23.65058750037245,NA
ALB,2020-08-29,15.065217,23.70245424886639,NA
ALB,2020-08-30,14.533514,23.63747296256947,NA
ALB,2020-08-31,14.011997,23.531065741194862,NA
ALB,2020-09-01,13.822289,23.54453804113588,NA
ALB,2020-09-02,13.76472,23.637697841627666,NA
ALB,2020-09-03,13.849418,23.65615836795049,NA
ALB,2020-09-04,14.113486,23.815861926117567,NA
ALB,2020-09-05,14.508624,23.881148405422035,NA
ALB,2020-09-06,14.881262,23.883512556040344,NA
ALB,2020-09-07,15.408076,23.8091462196978,NA
ALB,2020-09-08,16.013876,23.728619073312863,NA
ALB,2020-09-09,16.16903,23.63561698021254,NA
ALB,2020-09-10,15.979477,23.69639711683134,NA
ALB,2020-09-11,15.905968,23.736989247089355,NA
ALB,2020-09-12,15.978009,23.61051960116568,NA
ALB,2020-09-13,15.708795,23.674001206990084,NA
ALB,2020-09-14,15.789757,23.637693460866792,NA
ALB,2020-09-15,15.899306,23.647512206238936,NA
ALB,2020-09-16,15.914912,23.581470775810523,NA
ALB,2020-09-17,15.852497,23.43882151972573,NA
ALB,2020-09-18,15.700237,23.27677717499834,NA
ALB,2020-09-19,15.440012,23.17075692083426,NA
ALB,2020-09-20,15.403445,23.108701982801144,NA
ALB,2020-09-21,15.856233,23.163201568580323,NA
ALB,2020-09-22,16.76229,23.268843617055616,NA
ALB,2020-09-23,18.735527,23.27553741967101,NA
ALB,2020-09-24,21.686993,23.29627010063379,NA
ALB,2020-09-25,24.238802,23.182449171606834,NA
ALB,2020-09-26,26.639029,23.172385103625746,NA
ALB,2020-09-27,27.204632,23.083689298464517,NA
ARE,2020-04-11,6.695059,7.5080831139814945,NA
ARE,2020-04-12,6.703581,7.473356822533697,NA
ARE,2020-04-13,6.557776,7.36738329648561,NA
ARE,2020-04-14,6.4694457,7.312244119618832,NA
ARE,2020-04-15,5.8711085,6.96364799358155,NA
ARE,2020-04-16,5.578858,6.799469488181733,NA
ARE,2020-04-17,5.4175706,6.715426781195449,NA
ARE,2020-04-18,5.4911356,6.77444220130886,NA
ARE,2020-04-19,5.716459,6.927803147857271,NA
ARE,2020-04-20,6.0549574,7.1630120401941175,NA
ARE,2020-04-21,6.5145035,7.476078735290044,NA
ARE,2020-04-22,6.884739,7.73461152864661,NA
