country,score
MKD,31.01541571428572
MNE,25.116430428571427
ALB,17.906954857142857
ISR,17.431133714285714
ROU,16.627264285714286
MLT,15.948259285714288
HUN,15.194168285714282
LBN,10.688697142857142
HRV,10.121364785714286
BGR,8.708039871428571
RUS,7.833214814285713
GBR,7.750630457142857
ITA,6.905357699999999
GRC,6.345002
FRA,6.0384372571428555
BEL,4.814242299999999
CAN,4.150452314285714
CZE,4.058131671428572
USA,3.9770399714285714
TUR,3.6120519428571427
AUT,3.5034176571428572
NLD,3.1668959428571424
POL,2.9142663714285715
CYP,2.818249442857143
SAU,2.712477685714286
SVK,2.5807467571428573
DNK,2.4351620428571428
EST,1.989830242857143
SRB,1.964158457142857
FIN,1.6681671542857142
LTU,1.5743691142857141
ARE,1.5550596342857141
CHE,1.3978054485714286
SVN,1.3000138571428572
DEU,1.080224672857143
QAT,1.0751106714285714
SWE,0.8985444728571429
LVA,0.5845394128571428
CHN,0.37130951114285715
JPN,0.3021025885714286
KOR,0.2721132471428572
NOR,0.2589794007142857
AUS,0.0
NZL,0.0
ESP,nan
